Molecule,Atom,x_coord,y_coord,z_coord,sigma_iso,sigma_xx,sigma_yy,sigma_zz,dia_sigma_xx,dia_sigma_yy,dia_sigma_zz,para_sigma_xx,para_sigma_yy,para_sigma_zz,sigma_11,sigma_22,sigma_33,s_tot_symmetry,span,skew
df_cut_4_n1_opt.xyz,Nucleus 16C :,-1.428034,-3.492117,-0.679744,9.68,-96.41,22.27,103.17,216.44,271.19,262.37,-359.7,-247.99,-113.27,-96.41,22.27,103.17,0,199.58,0.19
df_cut_4_n1_opt.xyz,Nucleus 17O :,-3.213046,-3.301478,-0.736404,-191.33,-641.54,141.01,-73.47,445.69,399.96,421.77,-1085.24,-280.39,-475.79,-641.54,-73.47,141.01,0,782.55,0.45
df_cut_4_n1_opt.xyz,Nucleus 18O :,-2.210609,-2.779859,-2.095317,-205.6,-647.23,-52.74,83.17,449.21,390.79,412.57,-1092.88,-447.46,-329.03,-647.23,-52.74,83.17,0,730.4,0.63
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 7H :,1.004732,0.618235,0.399603,28.95,34.77,26.11,25.98,45.23,25.03,20.89,-12.23,2.82,5.11,25.98,26.11,34.77,0,8.79,-0.97
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 8H :,-0.479139,0.82372,0.426466,28.77,33.33,28.07,24.92,25.31,36.83,34.78,-8.75,-3.51,1.64,24.92,28.07,33.33,0,8.41,-0.25
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 9H :,-1.139424,1.29359,-0.715278,25.1,28.97,24.68,21.64,45.19,29.15,30.75,-20.86,-0.25,-8.7,21.64,24.68,28.97,0,7.33,-0.17
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 10H :,-2.52968,1.410024,-0.731269,25.03,21.78,27.46,25.84,45.39,32.02,17.22,-20.03,-4.66,5.15,21.78,25.84,27.46,0,5.68,0.43
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 11H :,-3.272787,1.055261,0.391918,23.56,25.42,22.69,22.56,10.44,43.17,38.83,12.18,-20.54,-13.42,22.56,22.69,25.42,0,2.86,-0.91
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 12H :,-2.626124,0.579825,1.530644,25.07,21.72,27.56,25.92,45.68,32.22,15.54,-20.28,-4.73,6.77,21.72,25.92,27.56,0,5.84,0.44
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 13H :,-1.23522,0.460846,1.547455,24.94,28.79,24.47,21.56,45.04,29.72,28.65,-20.95,-0.93,-6.71,21.56,24.47,28.79,0,7.23,-0.2
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 14H :,1.55352,1.498202,0.765691,28.92,33.41,28.33,25.02,25.0,37.72,35.01,2.37,-4.31,-9.03,25.02,28.33,33.41,0,8.39,-0.21
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 19H :,1.284892,-0.237829,1.022092,30.27,34.62,30.52,25.67,39.09,30.48,21.83,-4.56,0.05,3.92,25.67,30.52,34.62,0,8.95,0.08
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 20H :,-0.561879,1.500165,-1.613817,30.27,34.84,30.26,25.7,41.23,23.82,24.51,-6.64,6.25,1.62,25.7,30.26,34.84,0,9.14,-0.0
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 21H :,-3.040816,1.720907,-1.638839,30.09,33.53,28.28,28.47,38.46,25.56,27.54,-5.31,0.96,3.08,28.28,28.47,33.53,0,5.25,-0.93
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 0C :,-4.355684,1.123424,0.370599,156.96,184.99,135.41,150.47,253.49,240.92,229.81,-112.59,-61.4,-79.36,135.41,150.47,184.99,0,49.58,-0.39
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 1C :,-3.211788,0.241502,2.381456,34.69,173.61,-78.48,8.94,236.89,260.5,257.88,-63.56,-338.52,-249.12,-78.48,8.94,173.61,0,252.09,-0.31
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 2C :,-0.733449,0.01944,2.405791,51.8,-55.89,55.74,155.54,264.28,256.84,243.4,-312.37,-207.92,-88.83,-55.89,55.74,155.54,0,211.43,0.06
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 3C :,1.343908,0.40828,-0.61975,56.67,-51.97,52.29,169.68,268.31,257.03,234.72,-308.81,-215.04,-66.21,-51.97,52.29,169.68,0,221.65,-0.06
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 4C :,-2.270767,-3.079382,-1.085798,45.22,-71.65,172.75,34.56,254.48,275.06,232.79,-326.12,-60.04,-240.5,-71.65,34.56,172.75,0,244.4,-0.13
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 5C :,-2.13784,-1.674699,-0.520561,56.34,-52.11,51.26,169.88,234.23,268.12,257.73,-309.44,-215.93,-65.68,-52.11,51.26,169.88,0,221.99,-0.07
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 6C :,-0.95205,-1.29528,-0.301978,51.12,-57.38,53.21,157.54,265.3,256.38,242.25,-313.23,-211.39,-85.94,-57.38,53.21,157.54,0,214.92,0.03
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 15C :,-3.228218,-1.053135,-0.379054,157.5,161.72,191.82,118.96,253.67,235.19,232.39,-113.71,-75.49,-59.57,118.96,161.72,191.82,0,72.86,0.17
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 16C :,-1.446378,-3.726236,-0.765484,8.1,-86.05,22.69,87.67,212.44,269.11,261.02,-348.11,-245.38,-124.77,-86.05,22.69,87.67,0,173.72,0.25
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 17O :,-3.23139,-3.535598,-0.822144,-128.4,-488.64,177.86,-74.42,439.13,400.67,422.01,-923.27,-243.94,-479.8,-488.64,-74.42,177.86,0,666.5,0.24
df_cut_4_n1_opt_disp_struct_0.xyz,Nucleus 18O :,-2.228953,-3.013979,-2.181057,-143.96,-505.01,134.66,-61.52,439.57,393.55,418.21,-940.69,-458.85,-283.64,-505.01,-61.52,134.66,0,639.67,0.39
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 7H :,1.004732,0.618235,0.399603,29.07,34.96,26.01,26.24,45.28,25.5,21.55,-12.28,2.48,4.68,26.01,26.24,34.96,0,8.95,-0.95
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 8H :,-0.479139,0.82372,0.426466,28.85,33.45,28.19,24.91,26.03,34.62,37.51,1.08,-3.97,-8.71,24.91,28.19,33.45,0,8.54,-0.23
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 9H :,-1.139424,1.29359,-0.715278,24.68,28.69,23.82,21.52,45.29,29.47,31.21,-21.78,-0.85,-9.31,21.52,23.82,28.69,0,7.17,-0.36
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 10H :,-2.52968,1.410024,-0.731269,24.62,21.68,27.25,24.94,45.5,31.39,16.61,-20.88,-4.27,5.51,21.68,24.94,27.25,0,5.57,0.17
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 11H :,-3.272787,1.055261,0.391918,23.8,23.04,22.31,26.06,9.31,43.46,36.39,13.02,-20.43,-10.33,22.31,23.04,26.06,0,3.75,-0.61
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 12H :,-2.626124,0.579825,1.530644,24.63,21.63,27.29,24.96,45.8,31.4,14.93,-21.18,-4.19,7.13,21.63,24.96,27.29,0,5.66,0.17
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 13H :,-1.23522,0.460846,1.547455,24.58,28.56,23.69,21.48,45.12,29.88,29.12,-21.74,-1.3,-7.36,21.48,23.69,28.56,0,7.08,-0.38
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 14H :,1.55352,1.498202,0.765691,28.98,33.53,28.42,25.0,25.8,34.96,38.31,1.68,-4.67,-9.12,25.0,28.42,33.53,0,8.53,-0.2
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 19H :,1.284892,-0.237829,1.022092,30.34,34.63,30.44,25.96,38.98,29.86,21.39,-4.41,0.58,4.63,25.96,30.44,34.63,0,8.67,0.03
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 20H :,-0.561879,1.500165,-1.613817,30.34,34.8,30.21,26.02,41.08,23.8,22.57,-6.46,6.73,3.3,26.02,30.21,34.8,0,8.78,-0.04
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 21H :,-3.040816,1.720907,-1.638839,30.02,33.34,28.06,28.67,38.36,26.65,25.17,-5.3,1.74,3.46,28.06,28.67,33.34,0,5.28,-0.77
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 0C :,-4.355684,1.123424,0.370599,158.13,185.7,136.25,152.43,253.23,241.74,230.55,-112.57,-60.43,-78.14,136.25,152.43,185.7,0,49.45,-0.35
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 1C :,-3.211788,0.241502,2.381456,33.86,174.2,-79.57,6.96,238.25,260.21,258.6,-64.23,-339.44,-251.81,-79.57,6.96,174.2,0,253.77,-0.32
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 2C :,-0.733449,0.01944,2.405791,47.65,-62.52,49.06,156.41,263.72,257.03,243.87,-319.52,-213.54,-88.62,-62.52,49.06,156.41,0,218.93,0.02
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 3C :,1.343908,0.40828,-0.61975,51.37,-60.89,44.51,170.49,233.68,266.67,257.57,-317.54,-221.42,-64.84,-60.89,44.51,170.49,0,231.38,-0.09
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 4C :,-2.289111,-3.313502,-1.171538,44.61,-72.35,173.95,32.23,230.88,254.8,271.66,-326.39,-57.69,-239.43,-72.35,32.23,173.95,0,246.3,-0.15
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 5C :,-2.156184,-1.908819,-0.606302,51.04,-61.17,43.62,170.66,233.49,266.46,258.21,-318.34,-222.14,-64.56,-61.17,43.62,170.66,0,231.83,-0.1
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 6C :,-0.970394,-1.5294,-0.387718,47.33,-63.14,46.75,158.37,264.57,256.37,242.63,-319.4,-216.53,-85.67,-63.14,46.75,158.37,0,221.51,-0.01
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 15C :,-3.246562,-1.287255,-0.464794,158.55,164.17,191.81,119.68,253.32,233.42,230.6,-111.17,-71.64,-58.86,119.68,164.17,191.81,0,72.13,0.23
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 16C :,-1.464722,-3.960356,-0.851224,5.86,-83.45,23.17,77.85,210.26,267.76,260.16,-344.67,-243.51,-132.41,-83.45,23.17,77.85,0,161.3,0.32
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 17O :,-3.249734,-3.769717,-0.907885,-83.62,-382.68,-70.98,202.79,400.6,433.63,420.99,-807.76,-480.17,-218.16,-382.68,-70.98,202.79,0,585.47,0.06
df_cut_4_n1_opt_disp_struct_1.xyz,Nucleus 18O :,-2.247297,-3.248099,-2.266798,-98.31,-401.44,171.99,-65.49,395.96,431.91,417.94,-828.19,-246.5,-466.06,-401.44,-65.49,171.99,0,573.43,0.17
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 7H :,1.004732,0.618235,0.399603,28.99,34.81,25.69,26.46,44.75,25.71,23.13,-11.79,1.84,3.32,25.69,26.46,34.81,0,9.12,-0.83
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 8H :,-0.479139,0.82372,0.426466,28.92,33.89,28.42,24.45,39.82,33.02,27.84,-0.18,-5.36,-8.38,24.45,28.42,33.89,0,9.44,-0.16
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 9H :,-1.139424,1.29359,-0.715278,23.95,28.5,22.18,21.18,45.89,31.29,30.68,-23.69,-2.64,-9.67,21.18,22.18,28.5,0,7.32,-0.73
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 10H :,-2.52968,1.410024,-0.731269,23.94,27.13,23.47,21.21,45.78,30.02,16.18,-22.31,-2.92,5.05,21.21,23.47,27.13,0,5.92,-0.24
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 11H :,-3.272787,1.055261,0.391918,24.04,21.42,23.69,27.02,8.33,43.86,31.44,-20.18,13.09,-4.42,21.42,23.69,27.02,0,5.6,-0.19
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 12H :,-2.626124,0.579825,1.530644,23.91,27.11,23.43,21.2,45.98,29.76,14.53,-22.55,-2.66,6.68,21.2,23.43,27.11,0,5.91,-0.24
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 13H :,-1.23522,0.460846,1.547455,23.94,28.43,22.22,21.17,45.75,31.04,29.09,-23.49,-2.59,-7.97,21.17,22.22,28.43,0,7.26,-0.71
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 14H :,1.55352,1.498202,0.765691,28.98,33.88,28.58,24.48,40.19,33.43,27.86,-0.04,-5.72,-8.79,24.48,28.58,33.88,0,9.4,-0.13
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 19H :,1.284892,-0.237829,1.022092,30.21,34.08,30.12,26.44,38.98,26.57,18.41,-4.99,3.56,8.11,26.44,30.12,34.08,0,7.64,-0.04
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 20H :,-0.561879,1.500165,-1.613817,30.21,34.13,30.03,26.46,40.06,22.42,16.2,-5.94,7.6,10.29,26.46,30.03,34.13,0,7.67,-0.07
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 21H :,-3.040816,1.720907,-1.638839,29.76,32.4,27.97,28.91,37.56,26.1,20.65,-5.33,2.0,8.3,27.97,28.91,32.4,0,4.43,-0.58
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 0C :,-4.355684,1.123424,0.370599,160.21,187.12,137.8,155.72,251.91,244.04,234.99,-109.03,-61.97,-79.29,137.8,155.72,187.12,0,49.32,-0.27
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 1C :,-3.211788,0.241502,2.381456,35.44,174.71,-75.25,6.87,238.21,261.05,264.71,-63.59,-336.22,-257.82,-75.25,6.87,174.71,0,249.96,-0.34
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 2C :,-0.733449,0.01944,2.405791,44.5,-66.72,41.41,158.82,267.44,259.73,243.89,-326.38,-225.65,-85.53,-66.72,41.41,158.82,0,225.54,-0.04
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 3C :,1.343908,0.40828,-0.61975,46.38,-69.41,35.54,173.0,231.92,267.12,258.77,-327.54,-231.35,-59.79,-69.41,35.54,173.0,0,242.41,-0.13
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 4C :,-2.454205,-5.42058,-1.943202,49.24,-65.09,175.85,36.96,224.18,257.33,267.35,-50.58,-320.18,-230.38,-65.09,36.96,175.85,0,240.94,-0.15
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 5C :,-2.321278,-4.015897,-1.377966,46.21,-69.67,35.15,173.15,231.63,266.82,259.13,-328.22,-231.45,-59.29,-69.67,35.15,173.15,0,242.82,-0.14
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 6C :,-1.135488,-3.636478,-1.159382,44.99,-65.9,40.29,160.57,267.55,259.24,242.93,-325.05,-226.76,-82.96,-65.9,40.29,160.57,0,226.47,-0.06
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 15C :,-3.411656,-3.394333,-1.236458,159.44,120.92,167.01,190.38,251.19,229.92,224.14,-103.67,-65.3,-57.97,120.92,167.01,190.38,0,69.46,0.33
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 16C :,-1.629816,-6.067434,-1.622888,2.8,-86.71,27.88,67.23,206.28,267.28,255.73,-342.45,-239.39,-139.07,-86.71,27.88,67.23,0,153.94,0.49
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 17O :,-3.414828,-5.876796,-1.679549,-26.89,-261.86,-37.08,218.26,399.7,426.18,431.89,-676.24,-451.03,-211.18,-261.86,-37.08,218.26,0,480.12,-0.06
df_cut_4_n1_opt_disp_struct_10.xyz,Nucleus 18O :,-2.412391,-5.355177,-3.038461,-29.94,-267.03,-40.62,217.83,428.43,396.07,403.56,-682.38,-449.16,-186.35,-267.03,-40.62,217.83,0,484.86,-0.07
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 7H :,1.004732,0.618235,0.399603,28.97,34.78,25.67,26.46,44.68,25.66,23.1,-11.72,1.83,3.35,25.67,26.46,34.78,0,9.11,-0.83
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 8H :,-0.479139,0.82372,0.426466,28.92,33.92,28.44,24.4,39.86,32.93,27.85,-0.17,-5.37,-8.34,24.4,28.44,33.92,0,9.52,-0.15
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 9H :,-1.139424,1.29359,-0.715278,23.94,28.51,22.17,21.13,45.84,31.27,30.6,-23.65,-2.63,-9.61,21.13,22.17,28.51,0,7.38,-0.72
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 10H :,-2.52968,1.410024,-0.731269,23.92,27.13,23.46,21.17,45.72,30.05,16.21,-22.27,-2.93,4.98,21.17,23.46,27.13,0,5.96,-0.23
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 11H :,-3.272787,1.055261,0.391918,24.04,23.7,21.37,27.04,8.45,43.86,31.48,-20.18,12.93,-4.45,21.37,23.7,27.04,0,5.67,-0.18
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 12H :,-2.626124,0.579825,1.530644,23.9,27.12,23.42,21.16,45.92,29.81,14.58,-22.5,-2.7,6.59,21.16,23.42,27.12,0,5.96,-0.24
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 13H :,-1.23522,0.460846,1.547455,23.93,28.44,22.22,21.12,45.7,31.05,29.01,-23.45,-2.59,-7.94,21.12,22.22,28.44,0,7.32,-0.7
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 14H :,1.55352,1.498202,0.765691,28.98,33.91,28.6,24.44,40.21,33.34,27.89,-0.05,-5.72,-8.72,24.44,28.6,33.91,0,9.47,-0.12
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 19H :,1.284892,-0.237829,1.022092,30.2,34.05,30.1,26.46,39.04,26.39,18.15,-5.09,3.72,8.39,26.46,30.1,34.05,0,7.59,-0.04
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 20H :,-0.561879,1.500165,-1.613817,30.2,34.09,30.02,26.48,40.03,22.38,15.8,-5.96,7.63,10.7,26.48,30.02,34.09,0,7.61,-0.07
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 21H :,-3.040816,1.720907,-1.638839,29.75,32.35,27.99,28.9,37.54,26.3,20.24,-5.37,1.82,8.7,27.99,28.9,32.35,0,4.36,-0.58
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 0C :,-4.355684,1.123424,0.370599,160.24,187.16,137.79,155.78,251.98,244.0,235.21,-108.74,-62.27,-79.46,137.79,155.78,187.16,0,49.37,-0.27
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 1C :,-3.211788,0.241502,2.381456,35.38,174.73,-75.2,6.61,238.07,261.29,265.08,-63.45,-336.4,-258.45,-75.2,6.61,174.73,0,249.93,-0.35
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 2C :,-0.733449,0.01944,2.405791,44.5,-66.66,41.25,158.91,267.77,259.7,243.76,-326.29,-226.18,-85.27,-66.66,41.25,158.91,0,225.57,-0.04
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 3C :,1.343908,0.40828,-0.61975,46.33,-69.42,35.34,173.08,231.89,267.45,258.69,-327.56,-231.91,-59.56,-69.42,35.34,173.08,0,242.5,-0.14
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 4C :,-2.472549,-5.6547,-2.028942,49.32,-64.95,175.9,37.02,224.59,257.26,267.78,-50.6,-320.31,-230.76,-64.95,37.02,175.9,0,240.85,-0.15
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 5C :,-2.339622,-4.250017,-1.463706,46.18,-69.66,34.97,173.23,231.59,267.18,259.04,-328.21,-232.01,-59.04,-69.66,34.97,173.23,0,242.89,-0.14
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 6C :,-1.153832,-3.870598,-1.245123,45.0,-65.82,40.18,160.65,267.89,259.26,242.84,-324.98,-227.28,-82.73,-65.82,40.18,160.65,0,226.47,-0.06
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 15C :,-3.429999,-3.628453,-1.322199,159.43,120.89,167.1,190.29,251.14,230.36,224.35,-103.99,-65.42,-58.16,120.89,167.1,190.29,0,69.4,0.33
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 16C :,-1.64816,-6.301554,-1.708629,2.75,-86.91,27.98,67.19,205.58,267.32,255.43,-342.33,-239.34,-138.4,-86.91,27.98,67.19,0,154.1,0.49
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 17O :,-3.433171,-6.110916,-1.765289,-27.3,-262.84,-37.49,218.44,399.67,426.68,433.05,-678.1,-451.07,-212.12,-262.84,-37.49,218.44,0,481.28,-0.06
df_cut_4_n1_opt_disp_struct_11.xyz,Nucleus 18O :,-2.430734,-5.589297,-3.124202,-29.82,-267.11,-40.59,218.25,429.27,395.91,403.13,-683.05,-449.25,-185.47,-267.11,-40.59,218.25,0,485.36,-0.07
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 7H :,1.004732,0.618235,0.399603,28.95,34.74,25.65,26.45,44.61,25.62,23.06,-11.65,1.83,3.38,25.65,26.45,34.74,0,9.09,-0.83
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 8H :,-0.479139,0.82372,0.426466,28.93,33.95,28.46,24.37,39.89,32.86,27.85,-0.15,-5.38,-8.29,24.37,28.46,33.95,0,9.58,-0.15
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 9H :,-1.139424,1.29359,-0.715278,23.92,28.52,22.16,21.09,45.78,31.24,30.53,-23.61,-2.61,-9.56,21.09,22.16,28.52,0,7.43,-0.71
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 10H :,-2.52968,1.410024,-0.731269,23.91,27.14,23.45,21.13,45.67,30.07,16.23,-22.22,-2.94,4.91,21.13,23.45,27.14,0,6.01,-0.23
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 11H :,-3.272787,1.055261,0.391918,24.03,23.7,21.33,27.05,8.54,43.86,31.51,-20.17,12.8,-4.46,21.33,23.7,27.05,0,5.72,-0.17
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 12H :,-2.626124,0.579825,1.530644,23.89,27.13,23.42,21.12,45.86,29.84,14.61,-22.44,-2.72,6.51,21.12,23.42,27.13,0,6.01,-0.23
df_cut_4_n1_opt_disp_struct_12.xyz,Nucleus 13H :,-1.23522,0.460846,1.547455,23.91,28.45,22.21,21.08,45.65,31.05,28.95,-23.41,-2.58,-7.91,21.08,22.21,28.45,0,7.37,-0.69
